CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,IGCH,Burial Date c.,From,To,From date,To date
,,,,,,,8.158,,,,333 - 332 BC,333,332,-333,-332
,,,,,,,8.164,,,,330 BC,330,330,-330,-330
,,,,,,,8.165,,,,330 BC,330,330,-330,-330
,,,,,,,8.168,,,1654,330 B.C. c.,330,330,-330,-330
,,,,,,,8.172,,,,325-4 BC,325,324,-325,-324
,,,,,,,8.173,,,,325 BC,325,325,-325,-325
,,,,,,,8.178,,,,325 BC,325,325,-325,-325
,,,,,,,8.185,,,,323 BC,323,323,-323,-323
,,,,,,,8.186,,,,323 BC,323,323,-323,-323
,,,,,,,8.187,,,,323 BC or later,323,300,-323,-300
,,,,,,,8.191,,,409,322 B.C. after,322,300,-322,-300
,,,,,,,8.193,,,,320 BC,320,320,-320,-320
,,,,,,,8.195,,,,320 BC,320,320,-320,-320
,,,,,,,8.197,,,397,320,320,320,-320,-320
,,,,,,,8.198,,,,320 BC,320,320,-320,-320
,,,,,,,8.201,,,,317 - 316 BC,317,316,-317,-316
,,,,,,,8.203,,,,315 BC,315,315,-315,-315
,,,,,,,8.205,,,,315 BC,315,315,-315,-315
,,,,,,,8.207,,,,315 BC,315,315,-315,-315
,,,,,,,8.210,,,,310 BC,310,310,-310,-310
,,,,,,,8.212,,,859,,,,0,0
,,,,,,,8.214,,,,305-297 B.C.,305,297,-305,-297
,,,,,,,8.217,,,,305 - 297 BC,305,297,-305,-297
,,,,,,,8.220,,,,305 - 290 BC,305,290,-305,-290
,,,,,,,8.221,,,,305 -281 B.C. c.,305,281,-305,-281
,,,,,,,8.225,,,,300 BC,300,300,-300,-300
,,,,,,,8.230,,,836,300 BC,300,300,-300,-300
,,,,,,,8.236,,,,300 B.C. c.,300,300,-300,-300
,,,,,,,8.238,,,,300 or later,300,280,-300,-280
,,,,,,,8.239,,,,300 - 280 B.C.,300,280,-300,-280
,,,,,,,8.247,,,1345,300 - 200 B.C.,300,200,-300,-200
,,,,,,,8.249,,,,294 - 280 BC,294,280,-294,-280
,,,,,,,8.250,,,,290 BC,290,290,-290,-290
,,,,,,,8.255,,,,285 BC,285,285,-285,-285
,,,,,,,8.256,,,,285 BC,285,285,-285,-285
,,,,,,,8.257,,,853,285-275,285,275,-285,-275
,,,,,,,8.261,,,,281 - 275 BC,281,275,-281,-275
,,,,,,,8.266,,,1367,280 BC,280,280,-280,-280
,,,,,,,8.267,,,,280 BC,280,280,-280,-280
,,,,,,,8.268,,,,280 BC,280,280,-280,-280
,,,,,,,8.270,,,,280,280,280,-280,-280
,,,,,,,8.271,,,,280 - 275 BC,280,275,-280,-275
,,,,,,,8.275,,,,275 BC,275,275,-275,-275
,,,,,,,8.278,,,,270 BC,270,270,-270,-270
,,,,,,,8.280,,,,260 BC,260,260,-260,-260
,,,,,,,8.281,,,,260 BC,260,260,-260,-260
,,,,,,,8.282,,,,260 BC,260,260,-260,-260
,,,,,,,8.293,,,,250 BC?,250,250,-250,-250
,,,,,,,8.294,,,,250 BC,250,250,-250,-250
,,,,,,,8.299,,,,250 - 225 BC,250,225,-250,-225
,,,,,,,8.302,,,,246 - 240 BC,246,240,-246,-240
,,,,,,,8.305,,,,240 BC,240,240,-240,-240
,,,,,,,8.311,,,,230 B.C. c.,230,230,-230,-230
,,,,,,,8.315,,,,225 BC,225,225,-225,-225
,,,,,,,8.317,,,,225 BC,225,225,-225,-225
,,,,,,,8.318,,,245,225 B.C.,225,225,-225,-225
,,,,,,,8.321,,,,225,225,225,-225,-225
,,,,,,,8.322,,,,220 B.C. c.,220,220,-220,-220
,,,,,,,8.324,,,1369,220 B.C. c.,220,220,-220,-220
,,,,,,,8.333,,,,210 B.C. c.,210,210,-210,-210
,,,,,,,8.341,,,,200 BC.,200,200,-200,-200
,,,,,,,8.343,,,1313,200 BC,200,200,-200,-200
,,,,,,,8.346,,,,200 BC,200,200,-200,-200
,,,,,,,8.347,,,,200 BC,200,200,-200,-200
,,,,,,,8.348,,,,200 BC,200,200,-200,-200
,,,,,,,8.353,,,,200 B.C. c.,200,200,-200,-200
,,,,,,,8.358,,,,200-100 BC,200,100,-200,-100
,,,,,,,8.366,,,,200 - 100 B.C.,200,100,-200,-100
,,,,,,,8.370,,,,195,195,195,-195,-195
,,,,,,,8.374,,,,190 BC,190,190,-190,-190
,,,,,,,8.376,,,,190 B.C. c.,190,190,-190,-190
,,,,,,,8.392,,,,187 - 168 B.C.,187,168,-187,-168
,,,,,,,8.415,,,,175 BC,175,175,-175,-175
,,,,,,,8.416,,,,175 - 150 BC,175,150,-175,-150
,,,,,,,8.417,,,,175 - 150 BC,175,150,-175,-150
,,,,,,,8.422,,,,170 BC,170,170,-170,-170
,,,,,,,8.423,,,,170 BC,170,170,-170,-170
,,,,,,,8.424,,,,170 BC,170,170,-170,-170
,,,,,,,8.426,,,,170 BC,170,170,-170,-170
,,,,,,,8.428,,,,170 B.C. c.,170,170,-170,-170
,,,,,,,8.431,,,,168 B.C.,168,168,-168,-168
,,,,,,,8.437,,,,160 B.C. c.,160,160,-160,-160
