Name,Discovery Date Start,Discovery Date End,Discovery Date Uncertain,Burial Date Start,Burial Date End,CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,IGCH,Place Name,GML-compliant Coordinates,Canonical Geonames URI,Pleiades URI,Pleiades label,Nomisma URI,Geonames Feature Code Cat,Geonames Feature Code,AAT URI,AAT Label,findspot_uncertain,fromDate,fromDate_uncertain,fromDate_approximate,toDate,toDate_uncertain,toDate_approximate,IGCH lat,IGCH long,place,IGCH_region,Period
Kessab,1952,1952,,,,1.075,,,,,,,,,,1568,Kassab (Syria),"35.9897,35.92639",https://sws.geonames.org/168519/,,,,seat of a third-order administrative division,,,,,1952,,,,,,,,,Levant,
Ras-Baalbeck,1957,1957,,,,1.075,,,,,,,,,,1593,Râs Baalbek (Lebanon),"36.41917,34.25889",https://sws.geonames.org/268745/,https://pleiades.stoa.org/places/668231,Conna,,populated place,,,,,1957,,,,,,,,,Levant,
Diyarbakir,1955,1955,,,,1.075,,,,,,,,,,1735,Diyarbakır (Türkiye),"40.21721,37.91363",https://sws.geonames.org/316541/,https://pleiades.stoa.org/places/874298,Ad Tygrem/Amida,,seat of a first-order administrative division,,,,,1955,,,,,,,,,East,
Diyarbakir,1955,1955,,,,1.075,,,,,,,,,,1744,Diyarbakır (Türkiye),"40.21721,37.91363",https://sws.geonames.org/316541/,https://pleiades.stoa.org/places/874298,Ad Tygrem/Amida,,seat of a first-order administrative division,,,,,1955,,,,,,,,,East,
Tell Kotchek,1952,1952,,,,1.075,,,,,,,,,,1773,Al Ya‘rubīyah (Syria),"42.06206,36.81138",https://sws.geonames.org/383661/,,,,seat of a third-order administrative division,,,,,1952,,,,,,,,,East,
Syria,,1960,,-170,-160,1.077,,,,,,,,,,,Syria,,https://sws.geonames.org/163843/,https://pleiades.stoa.org/places/981550,Syria (Roman imperial province),,independent political entity,,,,,,,,1960,,TRUE,,,,Levant,http://nomisma.org/id/hellenistic_greece
Turkey,1974,1974,,-85,-85,1.094,,,,,,,,,,,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,,independent political entity,,,,,1974,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/hellenistic_greece
Lycia,1970,1971,,-85,-85,1.096,,,,,,,,,,,Lycie,,https://sws.geonames.org/8261119/,https://pleiades.stoa.org/places/638965,Lycia,,historical region,,,,,1970,,,1971,,,,,,Asia_Minor_south,http://nomisma.org/id/hellenistic_greece
Turkey,,,,-60,-60,1.102,,,,,,,,,,,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,,independent political entity,,,,,,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/hellenistic_greece
Syria,1970,1971,,-67,-33,1.103,,,,,,,,,,,Syria,,https://sws.geonames.org/163843/,https://pleiades.stoa.org/places/981550,Syria (Roman imperial province),,independent political entity,,,,,1970,,,1971,,,,,,Levant,http://nomisma.org/id/hellenistic_greece
