"value","uri","type"
"istakhr","http://nomisma.org/id/istakhr","mint"
"istrus","http://nomisma.org/id/istrus","mint"
"itanus","http://nomisma.org/id/itanus","mint"
"joppa","http://nomisma.org/id/joppa","mint"
"kese","http://nomisma.org/id/kese","mint"
"lacedaemon","http://nomisma.org/id/lacedaemon","mint"
"lamia","http://nomisma.org/id/lamia","mint"
"lampsacus","http://nomisma.org/id/lampsacus","mint"
"laodiceia_ad_lycum","http://nomisma.org/id/laodiceia_ad_lycum","mint"
"laodiceia_ad_mare","http://nomisma.org/id/laodiceia_ad_mare","mint"
"lapethus","http://nomisma.org/id/lapethus","mint"
"larissa","",""
"larissa_thessaly","http://nomisma.org/id/larissa_thessaly","mint"
"laues","",""
"laus","http://nomisma.org/id/laus","mint"
"lebedus","http://nomisma.org/id/lebedus","mint"
"lemnos","http://nomisma.org/id/lemnos","mint"
"leontini","http://nomisma.org/id/leontini","mint"
"lesbos","http://nomisma.org/id/lesbos","head_1911_region"
"lete","http://nomisma.org/id/lete","mint"
"leucas","http://nomisma.org/id/leucas","mint"
"libya","http://nomisma.org/id/libya","mint"
"lilaea","http://nomisma.org/id/lilaea","mint"
"lindus","http://nomisma.org/id/lindus","mint"
"lipara","http://nomisma.org/id/lipara","mint"
"lissus","http://nomisma.org/id/lissus","mint"
"locri opuntii","",""
"locri_epizephyrii","http://nomisma.org/id/locri_epizephyrii","mint"
"locri_opuntii","http://nomisma.org/id/locri_opuntii","mint"
"locris","http://nomisma.org/id/locris","head_1911_region"
"luceria","http://nomisma.org/id/luceria","mint"
"lycia","http://nomisma.org/id/lycia","head_1911_region"
"lydia","http://nomisma.org/id/lydia","head_1911_region"
"lysimacheia","",""
"lysimachia","http://nomisma.org/id/lysimachia","mint"
"lyttus","http://nomisma.org/id/lyttus","mint"
"macedon","http://nomisma.org/id/macedon","head_1911_region"
"macedonia","http://nomisma.org/id/macedonia","mint"
"macedonia_1st_region","http://nomisma.org/id/macedonia_1st_region","mint"
"macedonia_2nd_region","http://nomisma.org/id/macedonia_2nd_region","mint"
"macedonia_2st_region","",""
"magnesia_ad_maeandrum","http://nomisma.org/id/magnesia_ad_maeandrum","mint"
"magnetes","http://nomisma.org/id/magnetes","authority"
"mallus","http://nomisma.org/id/mallus","mint"
"mamertini","http://nomisma.org/id/mamertini","mint"
"mantineia","http://nomisma.org/id/mantineia","mint"
"marathus","http://nomisma.org/id/marathus","mint"
"marium","http://nomisma.org/id/marium","mint"
"maroneia","http://nomisma.org/id/maroneia","mint"
"massalia","http://nomisma.org/id/massalia","mint"
"megalopolis","http://nomisma.org/id/megalopolis","mint"
"megara","http://nomisma.org/id/megara","mint"
"melos","http://nomisma.org/id/melos","mint"
"menaenum","http://nomisma.org/id/menaenum","mint"
"mende","http://nomisma.org/id/mende","mint"
"mesembria","http://nomisma.org/id/mesembria","mint"
