"id","value","place","geonames_uri","geonames_place"
"igch2316","Campo de Rebate, near Orihuela, 50 km. SW of Alicante, 1850","Campo de Rebate","",""
"igch1588","Balatah (anc. Shechem), Samaria, 1960","Balatah","http://www.geonames.org/284446","Balāţah (Palestine)"
"igch2039","South Italy, 1954 or earlier","South Italy","http://www.geonames.org/3437652","Nueva Italia (Paraguay)"
"igch1892","Paestum (anc. Poseidonia), Lucania, 1952","Paestum","http://www.geonames.org/3171709","Paestum (Italy)"
"igch0504","Lesura, c. 36 km. N of Vraca, Bulgaria, 1939","Lesura","http://www.geonames.org/729648","Lesura (Bulgaria)"
"igch2361","Apt, 40 km. N of Aix, 1889","Apt","http://www.geonames.org/3037352","Apt (France)"
"igch0162","Karditsa (Palaiokastro), Thessaly, c. 1930","Karditsa","http://www.geonames.org/260989","Karditsa (Greece)"
"igch0073","Arta (and. Ambracia) environs, Epirus, 1955","Arta  environs","",""
"igch0754","Pjasačevo, c. 60 km. S of Nova Zagora, Bulgaria, 1967","Pjasačevo","",""
"igch2141","Sicily, date unknown","Sicily","http://www.geonames.org/2523920","Palermo (Italy)"
"igch1945","Pazzano, near Reggio, Bruttium, 1952","Pazzano","http://www.geonames.org/2523857","Pazzano (Italy)"
