internID,sub_instance,instance,alternative_names,fields_of_numismatics,cat_i,cat_ii,cat_iii,cat_iv,cat_v,cat_vi,related,german,french,nlp_link
93,,Byzas,,"from_cnt,from_it",Male,Hero,CityFounder,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/byzas_person
96,,Capaneus,kapaneus,"from_cnt,from_it",Male,Hero,Greek,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/capaneus_person
97,,Castor,kastor,"from_cnt,from_it",Male,Hero,Greek-Roman,Other,,,Dioscur,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/castor_person
195,,centaure,,from_it,Male,MythologicalFigure,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/centaure_NEW
283,,Ceres,,from_cnt,Female,Deity,Roman,Olympic,,,Demeter,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57930
484,,Cilicia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Cilicia_person
6,,city goddess,city goddesses,"from_cnt,from_it",Female,Deity,Greek,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/city_goddess_person
474,,Clementia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Clementia_person
419,,Concordia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Concordia_person
455,,Constantia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Constantia_person
546,,Constantinopolis,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Constantinopolis_person
288,,Cupid,,from_cnt,Male,Deity,Roman,Other,,,Eros,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57655
196,,Curetes,korybantes,from_it,Male,MythologicalFigure,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/curetes_NEW
7,,Cybele,kybele,"from_cnt,from_it",Female,Deity,Greek,Other,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57657
425,,Dacia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Dacia_person
472,,Danuvius,danube,from_ocre,Male,Deity,Roman,RiverGod,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Danuvius_person
496,,Dea Caelestis,,from_ocre,Female,Deity,Roman,Other,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/DeaCaelestis_person
8,,Demeter,,"from_cnt,from_it",Female,Deity,Greek,Olympic,,,Ceres,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57930
sub40,Demete Chthonia,Demeter,,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57930
sub41,Demeter Eleusinia,Demeter,,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57930
sub42,Demeter Tauropolos,Demeter,,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57930
sub43,Demeter Thesmophoros,Demeter,,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57930
9,,Despoina,,from_it,Female,Deity,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/despoina_NEW
293,,Diana,diana lucifera,from_cnt,Female,Deity,Roman,Olympic,,,Artemis,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57039
68,,Dicaeosyne,"dicaiosyne,dikaiosyne,aequitas","from_cnt,from_it,from_ocre",Male,Deity,Greek,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Aequitas_person
10,,Diktynna,,from_it,Female,Deity,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/diktynna_NEW
98,,Diomedes,,"from_cnt,from_it",Male,Hero,Greek,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/diomedes_person
69,,Dionysus,dionysos,"from_cnt,from_it",Male,Deity,Greek,Olympic,,,Bacchus,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57949
sub72,Dionysos Kadmeios,Dionysus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57949
sub71,Dionysus infant,Dionysus,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57949
70,,Dioscur,"dioscuri,dioscuri","from_cnt,from_it",Male,Deity,Greek-Roman,Other,,,"Kastor,Pollux,Polydeuces",,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57951
11,,Earth,"gaia,gaia,ge","from_cnt,from_it",Female,Deity,Greek-Roman,Other,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/earth_person
300,,Eirene,,from_cnt,Female,Deity,Greek,Other,,,Pax,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/eirene_person
12,,Eleuthyia,,from_it,Female,Deity,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/eleuthyia_NEW
13,,Ennodia,,from_it,Female,Deity,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/ennodia_NEW
71,,Eponymos god,,from_it,Male,Deity,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/eponymos_god_NEW
587,,Equitas,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Equitas_person
72,,Eros,,"from_cnt,from_it",Male,Deity,Greek,Other,,,Cupid,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/57655
549,,Euphratides,,from_ocre,Male,Deity,Roman,RiverGod,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Euphratides_person
57,,Europa,,"from_cnt,from_it",Female,MythologicalFigure,Greek-Roman,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/europa_person
630,,Eurypylos,,from_cnt,Male,MythologicalFigure,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Euryplos_person
197,,Eurystheus,,"from_cnt,from_it",Male,MythologicalFigure,Greek,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/eurystheus_person
