ID,Title,URI,Findspot
185890,As (aes grave) with head of Janus,http://numismatics.org/crro/id/rrc-35.1,
186149,"Denarius with head of Apollo, struck under Q. Sicinius and C. Coponius",http://numismatics.org/crro/id/rrc-441.1,
162071,Denarius with head of Augustus,http://numismatics.org/ocre/id/ric.1(2).aug.165A,
162066,Denarius with head of Augustus,http://numismatics.org/ocre/id/ric.1(2).aug.201A,
186291,Denarius with head of Augustus,http://numismatics.org/ocre/id/ric.1(2).aug.182,
186658,Denarius with head of Augustus,http://numismatics.org/ocre/id/ric.1(2).aug.525,
161983,"Quinarius with head of Apollo, struck under L. Calpurnius Piso Frugi",http://numismatics.org/crro/id/rrc-340.2e,
161966,"Denarius with head of Roma, struck under C. Porcius Cato",http://numismatics.org/crro/id/rrc-274.1,
161967,"Denarius with head of Roma, Issued by T. Minucius Augurinus",http://numismatics.org/crro/id/rrc-243.1,
161984,"Denarius with bust of Mercury, struck under C. Mamilius Limetanus",http://numismatics.org/crro/id/rrc-362.1,
186711,Denarius with head of Marc Antony,http://numismatics.org/crro/id/rrc-528.3,
186712,Denarius with head of Vespasian,http://numismatics.org/ocre/id/ric.2_1(2).ves.356,
186700,As with head of Domitian,http://numismatics.org/ocre/id/ric.2_1(2).dom.756,
162095,As with head of Claudius,http://numismatics.org/ocre/id/ric.1(2).cl.113,
186702,Denarius with bust of Trajan,http://numismatics.org/ocre/id/ric.2.tr.364,
186703,Sestertius with bust of Philip II,http://numismatics.org/ocre/id/ric.4.ph_i.266,
186708,"Quadrans with hand holding scales, struck under Claudius",http://numismatics.org/ocre/id/ric.1(2).cl.85,
45942,Didrachm with head of Hercules,http://numismatics.org/crro/id/rrc-20.1,
187502,Didrachm with head of Roma,http://numismatics.org/crro/id/rrc-22.1,
162089,"Sestertius with bust of Antonia II, struck under Claudius",http://numismatics.org/ocre/id/ric.1(2).cl.104,
162080,"Sestertius with Divus Augustus enthroned, struck under Tiberius",http://numismatics.org/ocre/id/ric.1(2).tib.49,
162079,"Sestertius with Pietas seated, struck under Gaius (Caligula)",http://numismatics.org/ocre/id/ric.1(2).gai.36,
162103,Sestertius with bust of Nero,http://numismatics.org/ocre/id/ric.1(2).ner.170,
162104,Sestertius with head of Nero,http://numismatics.org/ocre/id/ric.1(2).ner.178,
162161,As with bust of Domitian,http://numismatics.org/ocre/id/ric.2_1(2).dom.551,
162181,Aureus with bust of Trajan,http://numismatics.org/ocre/id/ric.2.tr.329_aureus,
162255,Sestertius with bust of Hadrian,http://numismatics.org/ocre/id/ric.2.hdn.612B,
162256,Sestertius with bust of Hadrian,http://numismatics.org/ocre/id/ric.2.hdn.743d,
187706,As with bust of Caracalla,http://numismatics.org/ocre/id/ric.4.crl.534,
187705,As with head of Commodus,http://numismatics.org/ocre/id/ric.3.com.644,
162364,Aureus with bust of Lucius Verus,http://numismatics.org/ocre/id/ric.3.m_aur.522,
197680,Sestertius with bust of Caracalla,http://numismatics.org/ocre/id/ric.4.crl.573A,
197681,As with bust of Macrinus,http://numismatics.org/ocre/id/ric.4.mcs.162,
162452,Sestertius with bust of Maximinus I Thrax,http://numismatics.org/ocre/id/ric.4.max_i.85,
162515,Aureus with bust of Probus,http://numismatics.org/ocre/id/ric.5.pro.831,
175720,Denarius with head of Augustus,http://numismatics.org/ocre/id/ric.1(2).aug.540,
161985,"Denarius with head of Apollo, struck under L. Marcius Censorinus",http://numismatics.org/crro/id/rrc-363.1d,
162030,"Denarius with head of Pietas, struck under D. Junius Brutus Albinus",http://numismatics.org/crro/id/rrc-450.2,
161968,"Denarius with head of Roma, struck under Q. Marcius Libo",http://numismatics.org/crro/id/rrc-215.1,
179578,Denarius with bust of Hadrian,http://numismatics.org/ocre/id/ric.2.hdn.13a,
162423,Antoninianus with bust of Caracalla,http://numismatics.org/ocre/id/ric.4.crl.260B,
179590,"Antoninianus with bust of Otacilia Severa, struck under Philip I",http://numismatics.org/ocre/id/ric.4.ph_i.115,
179591,"Antoninianus with bust of Philip II, struck under Philip I",http://numismatics.org/ocre/id/ric.4.ph_i.219,
179586,Denarius with head of Septimius Severus,http://numismatics.org/ocre/id/ric.4.ss.265,
179594,Denarius with head of Septimius Severus,http://numismatics.org/ocre/id/ric.4.ss.88A_denarius,
162424,Denarius with head of Geta,http://numismatics.org/ocre/id/ric.4.ge.72,
162502,"Antoninianus with bust of Valerian II, struck under Valerian I and Gallienus",http://numismatics.org/ocre/id/ric.5.val_ii.3,
179596,Antoninianus with bust of Gallienus,http://numismatics.org/ocre/id/ric.5.dio.166,
179600,Antoninianus of Gallic Empire with bust of Postumus,http://numismatics.org/ocre/id/ric.5.post.75,
179593,Antoninianus of Gallic Empire with bust of Victorinus,http://numismatics.org/ocre/id/ric.5.vict.113,
179618,Antoninianus of Gallic Empire with bust of Tetricus I,http://numismatics.org/ocre/id/ric.5.tet_i.123,
179616,Antoninianus of Gallic Empire with bust of Tetricus I,http://numismatics.org/ocre/id/ric.5.tet_i.141,
179614,Antoninianus with head of Claudius II Gothicus,http://numismatics.org/ocre/id/ric.5.cg.110,
162145,Denarius with head of Titus,http://numismatics.org/ocre/id/ric.2_1(2).tit.1,
179608,Antoninianus with bust of Volusian,http://numismatics.org/ocre/id/ric.4.vo.182,
179231,Denarius with bust of Elagabalus,http://numismatics.org/ocre/id/ric.4.el.52,
162488,"Antoninianus with bust of Otacilia Severa, struck under Philip I",http://numismatics.org/ocre/id/ric.4.ph_i.123C,
179233,"Denarius with head of Jupiter, struck under Q. Antonius Balbus",http://numismatics.org/crro/id/rrc-364.1c,
161969,"Denarius with head of Roma, struck under M. Fannius",http://numismatics.org/crro/id/rrc-275.1,
